report_id,title,class_rating,county,event_date,latitude,longitude,summary,terrain_roughness_score
637,Report 637: Campers' encounter just after dark in the Wrangell - St. Elias National Park and Preserve,Class A,Cordova-McCarthy County,2000-06-16,61.5,-142.9,Report 637: Campers' encounter just after dark in the Wrangell - St. Elias National Park and Preserve,1.0
2917,Report 2917: Family observes large biped from car,Class A,Prince of Wales County,1995-05-15,55.1872,-132.7982,Report 2917: Family observes large biped from car,1.0
7963,Report 7963: Sasquatch walks past window of house at night,Class A,Prince of Wales County,2004-02-09,55.2035,-132.8202,Report 7963: Sasquatch walks past window of house at night,0.209
9317,"Report 9317: Driver on Alcan Highway has noon, road encounter near Alaska-Canada border",Class A,Southeast Fairbanks County,2004-06-18,62.9375,-141.5667,"Report 9317: Driver on Alcan Highway has noon, road encounter near Alaska-Canada border",0.362
13038,"Report 13038: Snowmobiler has encounter in deep snow near Potter, AK",Class A,Anchorage County,2004-02-15,61.0595,-149.7853,"Report 13038: Snowmobiler has encounter in deep snow near Potter, AK",0.563
23666,Report 23666: Passenger on the Alcan Highway sees a tall bipedal creature walk across the road,Class A,Southeast Fairbanks County,2008-04-23,62.77335,-141.3165,Report 23666: Passenger on the Alcan Highway sees a tall bipedal creature walk across the road,0.395
26604,Report 26604: Daytime sighting of reddish-colored bigfoot near Fairbanks,Class A,Fairbanks County,2009-07-15,64.89139,-147.8142,Report 26604: Daytime sighting of reddish-colored bigfoot near Fairbanks,0.386
75309,Report 75309: Daylight road crossing sighting of a Sasquatch 65mi NE of Valdez,Class A,Valdez-Chitina-Whittier County,2022-05-15,61.96802,-145.3427,Report 75309: Daylight road crossing sighting of a Sasquatch 65mi NE of Valdez,0.146
179,"Report 179: Man and witnesses have two seperate sighting, 1st while fishing, 2nd while driving",Class A,Russell County,1981-09-15,32.31435,-85.16235,"Report 179: Man and witnesses have two seperate sighting, 1st while fishing, 2nd while driving",0.075
245,"Report 245: Two outdoorsman fishing, loud vocalizations, footsteps heard",Class A,Tuscaloosa County,1999-07-15,33.28375,-87.32655,"Report 245: Two outdoorsman fishing, loud vocalizations, footsteps heard",0.196
416,Report 416: A resident's early evening sighting next to his home near New Market,Class A,Madison County,1983-11-15,34.95605,-86.4559,Report 416: A resident's early evening sighting next to his home near New Market,0.248
435,Report 435: Daylight sighting by husband and wife near home near Valhermosa Springs,Class A,Morgan County,2000-10-10,34.5422,-86.66465,Report 435: Daylight sighting by husband and wife near home near Valhermosa Springs,0.474
451,Report 451: Young man has sighting near home,Class A,Limestone County,1993-08-20,34.9263,-87.02025,Report 451: Young man has sighting near home,0.093
577,Report 577: Man has repeated visits at family farm,Class A,Colbert County,1999-11-15,34.80405,-87.50905,Report 577: Man has repeated visits at family farm,0.062
799,"Report 799: Person fishing recounts story of his encounter with a large, bipedal creature that was wading in the water",Class A,Limestone County,1978-04-15,34.92855,-87.1105,"Report 799: Person fishing recounts story of his encounter with a large, bipedal creature that was wading in the water",0.484
832,"Report 832: Witnesses spot a tall, brown object moving on a hill, also reported are moans and a sighting where red eyes are described",Class A,Pickens County,1980-11-15,33.13195,-88.17885,"Report 832: Witnesses spot a tall, brown object moving on a hill, also reported are moans and a sighting where red eyes are described",0.055
961,"Report 961: Motorist confronted by hairy, man-like creature on roadside",Class A,Washington County,1997-01-06,31.4515,-88.08305,"Report 961: Motorist confronted by hairy, man-like creature on roadside",0.103
1022,Report 1022: Hunters observe creature walking in the woods,Class A,Walker County,1990-09-15,33.97575,-87.45876,Report 1022: Hunters observe creature walking in the woods,0.153
1907,"Report 1907: Motorist sees Bigfoot like creature, hears scream",Class A,Clarke County,1996-12-05,31.58255,-87.96095,"Report 1907: Motorist sees Bigfoot like creature, hears scream",0.167
3028,Report 3028: Daylight sighting by lady while her husband was clearing trees,Class A,Morgan County,2000-06-01,34.4881,-86.6333,Report 3028: Daylight sighting by lady while her husband was clearing trees,0.229
3296,Report 3296: Man on his way to work sees sasquatch crossing road in his headlights,Class A,Limestone County,2001-10-15,34.6802,-87.00665,Report 3296: Man on his way to work sees sasquatch crossing road in his headlights,0.123
4743,Report 4743: Nighttime sighting by two teens in southern Conecuh County,Class A,Conecuh County,2000-02-10,31.16,-87.09069,Report 4743: Nighttime sighting by two teens in southern Conecuh County,0.093
5954,Report 5954: Daylight sighting at eastern dike of East Lagoon in Aliceville,Class A,Pickens County,2007-09-01,33.13,-88.14999,Report 5954: Daylight sighting at eastern dike of East Lagoon in Aliceville,0.123
6938,Report 6938: Tracks and feces found in freshly turned field,Class A,Tuscaloosa County,2003-08-30,33.21145,-87.35664,Report 6938: Tracks and feces found in freshly turned field,0.359
7031,Report 7031: Lady sees large hairy creature on the side of the road,Class A,Tuscaloosa County,2003-06-28,33.26035,-87.31821,Report 7031: Lady sees large hairy creature on the side of the road,0.214
7235,Report 7235: Recollection of an afternoon sighting on Green Mountain,Class A,Madison County,2004-05-28,34.7325,-86.52105,Report 7235: Recollection of an afternoon sighting on Green Mountain,1.0
7427,Report 7427: Four youths have harrowing experience in Alabama backwoods.,Class A,Lee County,2003-11-26,32.6218,-85.4258,Report 7427: Four youths have harrowing experience in Alabama backwoods.,0.123
